Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
T05 - Sedekah Online,Edge Chromium 116,digunakan untuk melihat apakah fungsionalis dari test case yang test sudah sesuai,,2023-09-05 15:37:50,2023-09-05 15:48:54,11m - 3.644s,FAILED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-Succes-001,Edge Chromium 116,user melakukan sedekah online dengan menginputkan detail yang valid,,2023-09-05 15:37:50,2023-09-05 15:38:27,36.999s,PASSED
openBrowser(urlWeb),Edge Chromium 116,,,2023-09-05 15:37:51,2023-09-05 15:38:04,12.390s,PASSED
maximizeWindow(),Edge Chromium 116,,,2023-09-05 15:38:04,2023-09-05 15:38:04,0.361s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Edge Chromium 116,,,2023-09-05 15:38:04,2023-09-05 15:38:05,1.024s,PASSED
"verifyElementClickable(findTestObject(""sedekah online/a_Sedekah Online""), STOP_ON_FAILURE)",Edge Chromium 116,,,2023-09-05 15:38:05,2023-09-05 15:38:06,0.865s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Edge Chromium 116,,,2023-09-05 15:38:06,2023-09-05 15:38:08,1.501s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Edge Chromium 116,,,2023-09-05 15:38:08,2023-09-05 15:38:08,0.727s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), nominalSedekah)",Edge Chromium 116,,,2023-09-05 15:38:08,2023-09-05 15:38:10,1.497s,PASSED
"setText(findTestObject(""sedekah online/input_Nama lengkap (di sedekah online)""), namaLengkap)",Edge Chromium 116,,,2023-09-05 15:38:10,2023-09-05 15:38:11,1.389s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), noHp)",Edge Chromium 116,,,2023-09-05 15:38:11,2023-09-05 15:38:12,1.304s,PASSED
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), email)",Edge Chromium 116,,,2023-09-05 15:38:12,2023-09-05 15:38:14,1.338s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), metodePembayaran, false)",Edge Chromium 116,,,2023-09-05 15:38:14,2023-09-05 15:38:16,1.958s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), tujuanSedekah, false)",Edge Chromium 116,,,2023-09-05 15:38:16,2023-09-05 15:38:20,3.970s,PASSED
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Edge Chromium 116,,,2023-09-05 15:38:20,2023-09-05 15:38:24,4.193s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), duaDigitAkhir)",Edge Chromium 116,,,2023-09-05 15:38:24,2023-09-05 15:38:25,1.305s,PASSED
"click(findTestObject(""sedekah online/button_Sedekah Sekarang""))",Edge Chromium 116,,,2023-09-05 15:38:25,2023-09-05 15:38:27,1.391s,PASSED
"verifyElementText(findTestObject(""sedekah online/verifikasi sukses berdonasi""), ""Sukses Proses Bersedekah, kami akan segera menghubungi anda! Terima kasih"")",Edge Chromium 116,,,2023-09-05 15:38:27,2023-09-05 15:38:27,0.821s,PASSED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-Failed-001,Edge Chromium 116,user melakukan sedekah online namun dengan nominal kurang dari 25.000,,2023-09-05 15:40:06,2023-09-05 15:40:40,34.015s,FAILED
openBrowser(urlWeb),Edge Chromium 116,,,2023-09-05 15:40:07,2023-09-05 15:40:16,8.733s,PASSED
maximizeWindow(),Edge Chromium 116,,,2023-09-05 15:40:16,2023-09-05 15:40:16,0.322s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Edge Chromium 116,,,2023-09-05 15:40:16,2023-09-05 15:40:17,0.960s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Edge Chromium 116,,,2023-09-05 15:40:17,2023-09-05 15:40:19,1.522s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Edge Chromium 116,,,2023-09-05 15:40:19,2023-09-05 15:40:19,0.658s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), ""5000"")",Edge Chromium 116,,,2023-09-05 15:40:19,2023-09-05 15:40:20,1.149s,PASSED
"setText(findTestObject(""sedekah online/input_Nama lengkap (di sedekah online)""), namaLengkap)",Edge Chromium 116,,,2023-09-05 15:40:20,2023-09-05 15:40:22,1.806s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), noHp)",Edge Chromium 116,,,2023-09-05 15:40:22,2023-09-05 15:40:23,1.269s,PASSED
