Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
challenge,Edge Chromium 116,,,2023-09-15 11:22:00,2023-09-15 11:24:12,2m - 11.205s,FAILED
,,,,,,,
Test Cases/challange/TC-Failled-002,Edge Chromium 116,admin menambahkan berita namun isi berita kurang dari 100 karakter,,2023-09-15 11:22:38,2023-09-15 11:23:10,31.653s,FAILED
"callTestCase(findTestCase(""challange/login""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-09-15 11:22:38,2023-09-15 11:23:01,23.576s,PASSED
"click(findTestObject(""modul berita/halaman modul berita""))",Edge Chromium 116,,,2023-09-15 11:23:01,2023-09-15 11:23:02,0.593s,PASSED
"click(findTestObject(""modul berita/masuk menu berita admin""))",Edge Chromium 116,,,2023-09-15 11:23:02,2023-09-15 11:23:03,1.150s,PASSED
"click(findTestObject(""modul berita/a_Tambahkan Data""))",Edge Chromium 116,,,2023-09-15 11:23:03,2023-09-15 11:23:04,1.062s,PASSED
"setText(findTestObject(""modul berita/input_Judul_b""), ""wah! sepak bola indonesi semangkin meningkat"")",Edge Chromium 116,,,2023-09-15 11:23:04,2023-09-15 11:23:05,0.936s,PASSED
"selectOptionByValue(findTestObject(""modul berita/pilih kategori""), kategori, false)",Edge Chromium 116,,,2023-09-15 11:23:05,2023-09-15 11:23:06,0.884s,PASSED
"click(findTestObject(""modul berita/input_YaTidak_e headline""))",Edge Chromium 116,,,2023-09-15 11:23:06,2023-09-15 11:23:07,0.521s,PASSED
"click(findTestObject(""modul berita/input_YaTidak_f pilihan""))",Edge Chromium 116,,,2023-09-15 11:23:07,2023-09-15 11:23:07,0.568s,PASSED
"click(findTestObject(""modul berita/input_YaTidak_g berita utama""))",Edge Chromium 116,,,2023-09-15 11:23:07,2023-09-15 11:23:08,0.459s,PASSED
"setText(findTestObject(""modul berita/input isi berita""), ""wah sepak bola di  indonesi semangkin meningkat"")",Edge Chromium 116,,,2023-09-15 11:23:08,2023-09-15 11:23:09,1.270s,PASSED
webDriver = getWebDriver(),Edge Chromium 116,,,2023-09-15 11:23:09,2023-09-15 11:23:09,0.001s,PASSED
