Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
T05 Sedekah Online,Firefox 117.0,,,2023-09-29 11:05:04,2023-09-29 11:11:45,6m - 41.146s,FAILED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-LS-001,Firefox 117.0,User login dengan Memasukan username dan password yang valid,,2023-09-29 11:05:05,2023-09-29 11:05:27,21.600s,PASSED
openBrowser(urlWeb),Firefox 117.0,,,2023-09-29 11:05:06,2023-09-29 11:05:21,15.092s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-09-29 11:05:21,2023-09-29 11:05:21,0.109s,PASSED
"click(findTestObject(""Login/a_Login""))",Firefox 117.0,,,2023-09-29 11:05:21,2023-09-29 11:05:22,1.095s,PASSED
"verifyElementPresent(findTestObject(""Pendaftaran/verifikasi MASUK di halaman Login""), 0)",Firefox 117.0,,,2023-09-29 11:05:22,2023-09-29 11:05:23,0.717s,PASSED
"setText(findTestObject(""Login/input_Username, Email atau No. Handphone_a""), ""anata"")",Firefox 117.0,,,2023-09-29 11:05:23,2023-09-29 11:05:24,0.943s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password di Login(Masuk)""), ""qbkrdMwyWE4="")",Firefox 117.0,,,2023-09-29 11:05:24,2023-09-29 11:05:25,0.951s,PASSED
"click(findTestObject(""Login/button_Masuk di halaman login""))",Firefox 117.0,,,2023-09-29 11:05:25,2023-09-29 11:05:27,1.771s,PASSED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-001,Firefox 117.0,user melakukan sedekah online dengan menginputkan detail yang valid,,2023-09-29 11:05:27,2023-09-29 11:05:51,24.046s,PASSED
openBrowser(urlWeb),Firefox 117.0,,,2023-09-29 11:05:28,2023-09-29 11:05:37,9.118s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-09-29 11:05:37,2023-09-29 11:05:37,0.147s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Firefox 117.0,,,2023-09-29 11:05:37,2023-09-29 11:05:37,0.536s,PASSED
"verifyElementClickable(findTestObject(""sedekah online/a_Sedekah Online""), STOP_ON_FAILURE)",Firefox 117.0,,,2023-09-29 11:05:37,2023-09-29 11:05:38,0.517s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Firefox 117.0,,,2023-09-29 11:05:38,2023-09-29 11:05:40,1.549s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Firefox 117.0,,,2023-09-29 11:05:40,2023-09-29 11:05:40,0.780s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), NominalSedekah)",Firefox 117.0,,,2023-09-29 11:05:40,2023-09-29 11:05:41,0.852s,PASSED
"setText(findTestObject(""sedekah online/input_Nama lengkap (di sedekah online)""), namaLengkap)",Firefox 117.0,,,2023-09-29 11:05:41,2023-09-29 11:05:42,1.071s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), noHp)",Firefox 117.0,,,2023-09-29 11:05:42,2023-09-29 11:05:43,1.062s,PASSED
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), email)",Firefox 117.0,,,2023-09-29 11:05:43,2023-09-29 11:05:44,0.841s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), pembayaran, false)",Firefox 117.0,,,2023-09-29 11:05:44,2023-09-29 11:05:45,1.177s,PASSED
