Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
T08-Pendaftaran,Firefox 117.0,,,2023-09-29 14:06:39,2023-09-29 14:15:51,9m - 11.472s,ERROR
,,,,,,,
Test Cases/T08 - Pendaftaran/TC-PS-001,Firefox 117.0,User melakukan pendaftaran melalui menu Register dan  berhasil melakukan pendaftaran akun,,2023-09-29 14:06:40,2023-09-29 14:07:08,28.013s,PASSED
openBrowser(urlWeb),Firefox 117.0,,,2023-09-29 14:06:41,2023-09-29 14:06:54,12.714s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-09-29 14:06:54,2023-09-29 14:06:54,0.078s,PASSED
"verifyElementPresent(findTestObject(""verifikasi halaman tajalapak sebelum daftar""), 0)",Firefox 117.0,,,2023-09-29 14:06:54,2023-09-29 14:06:54,0.663s,PASSED
"click(findTestObject(""Pendaftaran/button Register""))",Firefox 117.0,,,2023-09-29 14:06:54,2023-09-29 14:06:56,1.230s,PASSED
"verifyElementPresent(findTestObject(""Pendaftaran/verifikasi masuk helamaan daftar""), 0)",Firefox 117.0,,,2023-09-29 14:06:56,2023-09-29 14:06:56,0.583s,PASSED
"setText(findTestObject(""Pendaftaran/input username""), username)",Firefox 117.0,,,2023-09-29 14:06:56,2023-09-29 14:06:57,0.867s,PASSED
"setText(findTestObject(""Pendaftaran/input email""), email)",Firefox 117.0,,,2023-09-29 14:06:57,2023-09-29 14:06:58,0.800s,PASSED
"setText(findTestObject(""Pendaftaran/input Nomor Telephon""), noHP)",Firefox 117.0,,,2023-09-29 14:06:58,2023-09-29 14:06:59,0.843s,PASSED
"if (toString().equalsIgnoreCase(""Perempuan""))",Firefox 117.0,,,2023-09-29 14:06:59,2023-09-29 14:07:00,0.828s,PASSED
"setEncryptedText(findTestObject(""Pendaftaran/input password""), ""8MbLm3cRDkc/jsWL6sX6LA=="")",Firefox 117.0,,,2023-09-29 14:07:00,2023-09-29 14:07:00,0.600s,PASSED
"setEncryptedText(findTestObject(""Pendaftaran/input konfirmasi password""), ""8MbLm3cRDkc/jsWL6sX6LA=="")",Firefox 117.0,,,2023-09-29 14:07:00,2023-09-29 14:07:01,1.022s,PASSED
"click(findTestObject(""Pendaftaran/button_Daftar""))",Firefox 117.0,,,2023-09-29 14:07:01,2023-09-29 14:07:05,4.081s,PASSED
"verifyElementPresent(findTestObject(""Pendaftaran/verifikasi berhasil daftar""), 0)",Firefox 117.0,,,2023-09-29 14:07:05,2023-09-29 14:07:06,0.635s,PASSED
"usn = getAttribute(findTestObject(""Object Repository/Pendaftaran/hasil username NEW""), ""value"")",Firefox 117.0,,,2023-09-29 14:07:06,2023-09-29 14:07:06,0.591s,PASSED
"Email = getAttribute(findTestObject(""Object Repository/Pendaftaran/hasil email""), ""value"")",Firefox 117.0,,,2023-09-29 14:07:06,2023-09-29 14:07:07,0.491s,PASSED
"nomorHp = getAttribute(findTestObject(""Object Repository/Pendaftaran/hasil nomor hp""), ""value"")",Firefox 117.0,,,2023-09-29 14:07:07,2023-09-29 14:07:07,0.442s,PASSED
"if (toString().equalsIgnoreCase(""Perempuan""))",Firefox 117.0,,,2023-09-29 14:07:07,2023-09-29 14:07:08,0.487s,PASSED
assert trim().equalsIgnoreCase(usn.trim()),Firefox 117.0,,,2023-09-29 14:07:08,2023-09-29 14:07:08,0.007s,PASSED
assert trim().equalsIgnoreCase(Email.trim()),Firefox 117.0,,,2023-09-29 14:07:08,2023-09-29 14:07:08,0.000s,PASSED
assert trim().equalsIgnoreCase(nomorHp.trim()),Firefox 117.0,,,2023-09-29 14:07:08,2023-09-29 14:07:08,0.000s,PASSED
,,,,,,,
