Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
M05 - Edit Sosial Media,Firefox 117.0,,,2023-10-03 10:55:42,2023-10-03 11:04:27,8m - 44.838s,ERROR
,,,,,,,
Test Cases/M05 -Edit Sosial Media/TC-LS-001,Firefox 117.0,User login dengan Memasukan username dan password yang valid,,2023-10-03 10:55:42,2023-10-03 10:56:04,21.846s,PASSED
openBrowser(urlWeb),Firefox 117.0,,,2023-10-03 10:55:43,2023-10-03 10:55:59,16.016s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-10-03 10:55:59,2023-10-03 10:55:59,0.135s,PASSED
"click(findTestObject(""Login/a_Login""))",Firefox 117.0,,,2023-10-03 10:55:59,2023-10-03 10:56:00,0.972s,PASSED
"setText(findTestObject(""Login/input_Username, Email atau No. Handphone_a""), ""runa36"")",Firefox 117.0,,,2023-10-03 10:56:00,2023-10-03 10:56:01,1.158s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password di Login(Masuk)""), ""qbkrdMwyWE4="")",Firefox 117.0,,,2023-10-03 10:56:01,2023-10-03 10:56:02,0.607s,PASSED
"click(findTestObject(""Login/button_Masuk di halaman login""))",Firefox 117.0,,,2023-10-03 10:56:02,2023-10-03 10:56:03,1.424s,PASSED
"verifyElementPresent(findTestObject(""edit sosial media/verifikasi masuk halaman biodata diri""), 0)",Firefox 117.0,,,2023-10-03 10:56:03,2023-10-03 10:56:04,0.787s,PASSED
,,,,,,,
Test Cases/M05 -Edit Sosial Media/TC-ESMS-001,Firefox 117.0,User melakukan edit semua sosial media dengan inputan yang valid,,2023-10-03 10:56:04,2023-10-03 10:56:46,41.543s,PASSED
"callTestCase(findTestCase(""M05 -Edit Sosial Media/TC-LS-001""), [:], STOP_ON_FAILURE)",Firefox 117.0,,,2023-10-03 10:56:06,2023-10-03 10:56:23,16.467s,PASSED
"verifyElementPresent(findTestObject(""edit sosial media/verifikasi masuk halaman biodata diri""), 0)",Firefox 117.0,,,2023-10-03 10:56:23,2023-10-03 10:56:23,0.662s,PASSED
"click(findTestObject(""edit sosial media/a_Sosmed""))",Firefox 117.0,,,2023-10-03 10:56:23,2023-10-03 10:56:25,1.213s,PASSED
"click(findTestObject(""edit sosial media/Edit Sosial Media""))",Firefox 117.0,,,2023-10-03 10:56:25,2023-10-03 10:56:26,1.734s,PASSED
"clearText(findTestObject(""edit sosial media/input_Facebook_a""))",Firefox 117.0,,,2023-10-03 10:56:26,2023-10-03 10:56:27,0.817s,PASSED
"setText(findTestObject(""edit sosial media/input_Facebook_a""), Facebook)",Firefox 117.0,,,2023-10-03 10:56:27,2023-10-03 10:56:28,0.932s,PASSED
"clearText(findTestObject(""edit sosial media/input_Twitter_b""))",Firefox 117.0,,,2023-10-03 10:56:28,2023-10-03 10:56:29,0.591s,PASSED
"setText(findTestObject(""edit sosial media/input_Twitter_b""), Twitter)",Firefox 117.0,,,2023-10-03 10:56:29,2023-10-03 10:56:30,0.938s,PASSED
"clearText(findTestObject(""edit sosial media/input_Instagram_c""))",Firefox 117.0,,,2023-10-03 10:56:30,2023-10-03 10:56:30,0.731s,PASSED
"setText(findTestObject(""edit sosial media/input_Instagram_c""), Instagram)",Firefox 117.0,,,2023-10-03 10:56:30,2023-10-03 10:56:32,1.448s,PASSED
"clearText(findTestObject(""edit sosial media/input_Whatsapp_d""))",Firefox 117.0,,,2023-10-03 10:56:32,2023-10-03 10:56:32,0.647s,PASSED
"setText(findTestObject(""edit sosial media/input_Whatsapp_d""), Whatsapp)",Firefox 117.0,,,2023-10-03 10:56:32,2023-10-03 10:56:33,1.009s,PASSED
"clearText(findTestObject(""edit sosial media/input_Telegram_e""))",Firefox 117.0,,,2023-10-03 10:56:33,2023-10-03 10:56:34,0.753s,PASSED
"setText(findTestObject(""edit sosial media/input_Telegram_e""), Telegram)",Firefox 117.0,,,2023-10-03 10:56:34,2023-10-03 10:56:35,0.737s,PASSED
"clearText(findTestObject(""edit sosial media/input_Youtube_f""))",Firefox 117.0,,,2023-10-03 10:56:35,2023-10-03 10:56:36,0.708s,PASSED
"setText(findTestObject(""edit sosial media/input_Youtube_f""), Youtube)",Firefox 117.0,,,2023-10-03 10:56:36,2023-10-03 10:56:36,0.752s,PASSED
"clearText(findTestObject(""edit sosial media/input_LinkedIn_g""))",Firefox 117.0,,,2023-10-03 10:56:36,2023-10-03 10:56:37,0.679s,PASSED
"setText(findTestObject(""edit sosial media/input_LinkedIn_g""), LinkedIn)",Firefox 117.0,,,2023-10-03 10:56:37,2023-10-03 10:56:38,0.807s,PASSED
"clearText(findTestObject(""edit sosial media/input_Google_h""))",Firefox 117.0,,,2023-10-03 10:56:38,2023-10-03 10:56:38,0.567s,PASSED
"setText(findTestObject(""edit sosial media/input_Google_h""), Google)",Firefox 117.0,,,2023-10-03 10:56:38,2023-10-03 10:56:39,0.863s,PASSED
"click(findTestObject(""edit sosial media/center_Simpan Sosial Media""))",Firefox 117.0,,,2023-10-03 10:56:39,2023-10-03 10:56:42,2.336s,PASSED
"face = getText(findTestObject(""hasil sosmed/hasil facebook_a""))",Firefox 117.0,,,2023-10-03 10:56:42,2023-10-03 10:56:42,0.803s,PASSED
"Twit = getText(findTestObject(""hasil sosmed/hasil twitter_b""))",Firefox 117.0,,,2023-10-03 10:56:43,2023-10-03 10:56:43,0.506s,PASSED
"insta = getText(findTestObject(""hasil sosmed/hasil Instagram_c""))",Firefox 117.0,,,2023-10-03 10:56:43,2023-10-03 10:56:44,0.522s,PASSED
"wa = getText(findTestObject(""hasil sosmed/hasil whatsapp d""))",Firefox 117.0,,,2023-10-03 10:56:44,2023-10-03 10:56:44,0.447s,PASSED
"tele = getText(findTestObject(""hasil sosmed/hasil Telegram e""))",Firefox 117.0,,,2023-10-03 10:56:44,2023-10-03 10:56:44,0.419s,PASSED
"yout = getText(findTestObject(""hasil sosmed/hasil youtube f""))",Firefox 117.0,,,2023-10-03 10:56:44,2023-10-03 10:56:45,0.370s,PASSED
"lin = getText(findTestObject(""hasil sosmed/hasil linkedin g""))",Firefox 117.0,,,2023-10-03 10:56:45,2023-10-03 10:56:45,0.484s,PASSED
"goo = getText(findTestObject(""hasil sosmed/hasil google h""))",Firefox 117.0,,,2023-10-03 10:56:45,2023-10-03 10:56:46,0.578s,PASSED
assert trim().equalsIgnoreCase(Facebook.trim()),Firefox 117.0,,,2023-10-03 10:56:46,2023-10-03 10:56:46,0.008s,PASSED
assert trim().equalsIgnoreCase(Twitter.trim()),Firefox 117.0,,,2023-10-03 10:56:46,2023-10-03 10:56:46,0.001s,PASSED
assert trim().equalsIgnoreCase(Instagram.trim()),Firefox 117.0,,,2023-10-03 10:56:46,2023-10-03 10:56:46,0.002s,PASSED
assert trim().equalsIgnoreCase(Whatsapp.trim()),Firefox 117.0,,,2023-10-03 10:56:46,2023-10-03 10:56:46,0.000s,PASSED
assert trim().equalsIgnoreCase(Telegram.trim()),Firefox 117.0,,,2023-10-03 10:56:46,2023-10-03 10:56:46,0.001s,PASSED
assert trim().equalsIgnoreCase(Youtube.trim()),Firefox 117.0,,,2023-10-03 10:56:46,2023-10-03 10:56:46,0.001s,PASSED
assert trim().equalsIgnoreCase(LinkedIn.trim()),Firefox 117.0,,,2023-10-03 10:56:46,2023-10-03 10:56:46,0.001s,PASSED
assert trim().equalsIgnoreCase(Google.trim()),Firefox 117.0,,,2023-10-03 10:56:46,2023-10-03 10:56:46,0.001s,PASSED
,,,,,,,
Test Cases/M05 -Edit Sosial Media/TC-ESMS-002,Firefox 117.0,User melakukan edit salah satu atau lebih Sosial media dengan menggunakan inputan yang valid,,2023-10-03 10:56:46,2023-10-03 10:57:17,30.951s,PASSED
"callTestCase(findTestCase(""M05 -Edit Sosial Media/TC-LS-001""), [:], STOP_ON_FAILURE)",Firefox 117.0,,,2023-10-03 10:56:47,2023-10-03 10:57:07,19.446s,PASSED
"verifyElementPresent(findTestObject(""edit sosial media/verifikasi masuk halaman biodata diri""), 0)",Firefox 117.0,,,2023-10-03 10:57:07,2023-10-03 10:57:07,0.601s,PASSED
"click(findTestObject(""edit sosial media/a_Sosmed""))",Firefox 117.0,,,2023-10-03 10:57:07,2023-10-03 10:57:09,1.617s,PASSED
"click(findTestObject(""edit sosial media/Edit Sosial Media""))",Firefox 117.0,,,2023-10-03 10:57:09,2023-10-03 10:57:10,1.418s,PASSED
"clearText(findTestObject(""edit sosial media/input_Facebook_a""))",Firefox 117.0,,,2023-10-03 10:57:10,2023-10-03 10:57:11,0.836s,PASSED
"setText(findTestObject(""edit sosial media/input_Facebook_a""), facebook)",Firefox 117.0,,,2023-10-03 10:57:11,2023-10-03 10:57:12,0.981s,PASSED
"clearText(findTestObject(""edit sosial media/input_Instagram_c""))",Firefox 117.0,,,2023-10-03 10:57:12,2023-10-03 10:57:13,0.660s,PASSED
"setText(findTestObject(""edit sosial media/input_Instagram_c""), instagram)",Firefox 117.0,,,2023-10-03 10:57:13,2023-10-03 10:57:14,0.971s,PASSED
"click(findTestObject(""edit sosial media/center_Simpan Sosial Media""))",Firefox 117.0,,,2023-10-03 10:57:14,2023-10-03 10:57:16,1.945s,PASSED
"face = getText(findTestObject(""Object Repository/hasil sosmed/hasil facebook_a""))",Firefox 117.0,,,2023-10-03 10:57:16,2023-10-03 10:57:16,0.880s,PASSED
"insta = getText(findTestObject(""Object Repository/hasil sosmed/hasil Instagram_c""))",Firefox 117.0,,,2023-10-03 10:57:16,2023-10-03 10:57:17,0.503s,PASSED
assert trim().equalsIgnoreCase(facebook.trim()),Firefox 117.0,,,2023-10-03 10:57:17,2023-10-03 10:57:17,0.006s,PASSED
assert trim().equalsIgnoreCase(instagram.trim()),Firefox 117.0,,,2023-10-03 10:57:17,2023-10-03 10:57:17,0.002s,PASSED
,,,,,,,
Test Cases/M05 -Edit Sosial Media/TC-ESMS-003,Firefox 117.0,user melakukan edit sosial media Twitter dengan menghapus nama akun twiter,,2023-10-03 10:57:17,2023-10-03 10:57:43,26.120s,FAILED
"callTestCase(findTestCase(""M05 -Edit Sosial Media/TC-LS-001""), [:], STOP_ON_FAILURE)",Firefox 117.0,,,2023-10-03 10:57:18,2023-10-03 10:57:35,17.171s,PASSED
"verifyElementPresent(findTestObject(""edit sosial media/verifikasi masuk halaman biodata diri""), 0)",Firefox 117.0,,,2023-10-03 10:57:35,2023-10-03 10:57:36,0.602s,PASSED
"click(findTestObject(""edit sosial media/a_Sosmed""))",Firefox 117.0,,,2023-10-03 10:57:36,2023-10-03 10:57:37,1.329s,PASSED
"click(findTestObject(""edit sosial media/Edit Sosial Media""))",Firefox 117.0,,,2023-10-03 10:57:37,2023-10-03 10:57:39,1.451s,PASSED
"clearText(findTestObject(""edit sosial media/input_Twitter_b""))",Firefox 117.0,,,2023-10-03 10:57:39,2023-10-03 10:57:40,0.878s,PASSED
"setText(findTestObject(""edit sosial media/input_Twitter_b""), twitter)",Firefox 117.0,,,2023-10-03 10:57:40,2023-10-03 10:57:41,0.943s,PASSED
"click(findTestObject(""edit sosial media/center_Simpan Sosial Media""))",Firefox 117.0,,,2023-10-03 10:57:41,2023-10-03 10:57:42,1.705s,PASSED
"twit = getText(findTestObject(""Object Repository/hasil sosmed/hasil twitter_b""))",Firefox 117.0,,,2023-10-03 10:57:42,2023-10-03 10:57:43,0.896s,PASSED
assert trim().equalsIgnoreCase(twitter.trim()),Firefox 117.0,,,2023-10-03 10:57:43,2023-10-03 10:57:43,0.063s,FAILED
,,,,,,,
Test Cases/M05 -Edit Sosial Media/TC-ESMS-004,Firefox 117.0,User edit sosial media youtube dan linkedin dengan inputan alamat url,,2023-10-03 10:57:43,2023-10-03 10:58:13,29.765s,PASSED
"callTestCase(findTestCase(""M05 -Edit Sosial Media/TC-LS-001""), [:], STOP_ON_FAILURE)",Firefox 117.0,,,2023-10-03 10:57:46,2023-10-03 10:58:03,17.323s,PASSED
"verifyElementPresent(findTestObject(""edit sosial media/verifikasi masuk halaman biodata diri""), 0)",Firefox 117.0,,,2023-10-03 10:58:03,2023-10-03 10:58:04,0.596s,PASSED
"click(findTestObject(""edit sosial media/a_Sosmed""))",Firefox 117.0,,,2023-10-03 10:58:04,2023-10-03 10:58:05,1.713s,PASSED
"click(findTestObject(""edit sosial media/Edit Sosial Media""))",Firefox 117.0,,,2023-10-03 10:58:05,2023-10-03 10:58:07,1.673s,PASSED
"clearText(findTestObject(""edit sosial media/input_Youtube_f""))",Firefox 117.0,,,2023-10-03 10:58:07,2023-10-03 10:58:08,0.728s,PASSED
"setText(findTestObject(""edit sosial media/input_Youtube_f""), youtube)",Firefox 117.0,,,2023-10-03 10:58:08,2023-10-03 10:58:09,0.852s,PASSED
"clearText(findTestObject(""edit sosial media/input_LinkedIn_g""))",Firefox 117.0,,,2023-10-03 10:58:09,2023-10-03 10:58:09,0.650s,PASSED
