Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
T08 - Konfirmasi Pesanan,Firefox 117.0,test untuk test case konfirmasi pendaftaran,,2023-10-06 12:13:11,2023-10-06 12:42:31,29m - 20.484s,FAILED
,,,,,,,
Test Cases/T08 - Konfirmasi Pesanan/TC-LS-001,Firefox 117.0,User login dengan Memasukan username dan password yang valid,,2023-10-06 12:13:12,2023-10-06 12:13:31,19.470s,PASSED
openBrowser(urlWeb),Firefox 117.0,,,2023-10-06 12:13:12,2023-10-06 12:13:26,13.575s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-10-06 12:13:26,2023-10-06 12:13:26,0.098s,PASSED
"click(findTestObject(""Login/a_Login""))",Firefox 117.0,,,2023-10-06 12:13:26,2023-10-06 12:13:27,1.195s,PASSED
"setText(findTestObject(""Login/input_Username, Email atau No. Handphone_a""), ""runa36"")",Firefox 117.0,,,2023-10-06 12:13:27,2023-10-06 12:13:28,0.909s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password di Login(Masuk)""), ""qbkrdMwyWE4="")",Firefox 117.0,,,2023-10-06 12:13:28,2023-10-06 12:13:29,0.686s,PASSED
"click(findTestObject(""Login/button_Masuk di halaman login""))",Firefox 117.0,,,2023-10-06 12:13:29,2023-10-06 12:13:30,1.674s,PASSED
"verifyElementPresent(findTestObject(""Pendaftaran/verifikasi MASUK di halaman Login""), 0)",Firefox 117.0,,,2023-10-06 12:13:30,2023-10-06 12:13:31,0.733s,PASSED
,,,,,,,
Test Cases/T08 - Konfirmasi Pesanan/TC-OS-001,Firefox 117.0,user berhasil melakukan order produk di website tajalapak,,2023-10-06 12:13:31,2023-10-06 12:14:14,42.892s,PASSED
"callTestCase(findTestCase(""T08 - Konfirmasi Pesanan/TC-LS-001""), [:], STOP_ON_FAILURE)",Firefox 117.0,,,2023-10-06 12:13:32,2023-10-06 12:13:49,16.851s,PASSED
"setText(findTestObject(""chekout/input aku mau belanja""), ""acer"")",Firefox 117.0,,,2023-10-06 12:13:49,2023-10-06 12:13:50,0.856s,PASSED
"click(findTestObject(""chekout/button_Cari di halaman tajalapak""))",Firefox 117.0,,,2023-10-06 12:13:50,2023-10-06 12:13:51,1.553s,PASSED
"click(findTestObject(""chekout/NEW read more acer""))",Firefox 117.0,,,2023-10-06 12:13:51,2023-10-06 12:13:53,2.198s,PASSED
"click(findTestObject(""chekout/button_Beli Sekarang di detail produk""))",Firefox 117.0,,,2023-10-06 12:13:53,2023-10-06 12:13:55,1.961s,PASSED
"verifyElementPresent(findTestObject(""chekout/halaman keranjang belanja""), 0)",Firefox 117.0,,,2023-10-06 12:13:55,2023-10-06 12:13:57,1.330s,PASSED
"click(findTestObject(""chekout/button_Lanjut ke Pembayaran""))",Firefox 117.0,,,2023-10-06 12:13:57,2023-10-06 12:13:59,2.475s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/chekout/select_- Kirim via Kurir Lokal -Roda 2Roda 4""), Roda, false)",Firefox 117.0,,,2023-10-06 12:13:59,2023-10-06 12:14:01,1.375s,PASSED
"click(findTestObject(""chekout/jenis kendaraan""))",Firefox 117.0,,,2023-10-06 12:14:01,2023-10-06 12:14:01,0.731s,PASSED
"if (toString().equalsIgnoreCase(""transfer""))",Firefox 117.0,,,2023-10-06 12:14:01,2023-10-06 12:14:02,0.567s,PASSED
"click(findTestObject(""chekout/button_Proses Pembayaran""))",Firefox 117.0,,,2023-10-06 12:14:02,2023-10-06 12:14:08,5.686s,PASSED
"noPesanan = getText(findTestObject(""Object Repository/chekout/nomor invoice dari halaman menunggu pembayaran""))",Firefox 117.0,,,2023-10-06 12:14:08,2023-10-06 12:14:08,0.862s,PASSED
println(noPesanan),Firefox 117.0,,,2023-10-06 12:14:08,2023-10-06 12:14:08,0.010s,PASSED
"pengirim = getText(findTestObject(""Object Repository/chekout/dikirim kepada sama dengan pengirim di tf di konfirmaasi bayar""))",Firefox 117.0,,,2023-10-06 12:14:08,2023-10-06 12:14:09,0.524s,PASSED
"totalharga = getText(findTestObject(""Object Repository/chekout/total harga bayar""))",Firefox 117.0,,,2023-10-06 12:14:09,2023-10-06 12:14:10,0.855s,PASSED
"ongkir = getText(findTestObject(""co saldo akun/new ongkir tf""))",Firefox 117.0,,,2023-10-06 12:14:10,2023-10-06 12:14:11,0.814s,PASSED
"ongkirr = replace("","", """").trim()",Firefox 117.0,,,2023-10-06 12:14:11,2023-10-06 12:14:11,0.008s,PASSED
ongkir1 = Integer.parseInt(ongkirr),Firefox 117.0,,,2023-10-06 12:14:11,2023-10-06 12:14:11,0.005s,PASSED
println(ongkir1),Firefox 117.0,,,2023-10-06 12:14:11,2023-10-06 12:14:11,0.000s,PASSED
"biayaAdmin = getText(findTestObject(""co saldo akun/new fee admin tf""))",Firefox 117.0,,,2023-10-06 12:14:11,2023-10-06 12:14:11,0.413s,PASSED
"bAdmin = replace("","", """").trim()",Firefox 117.0,,,2023-10-06 12:14:11,2023-10-06 12:14:11,0.001s,PASSED
Integer.parseInt(bAdmin),Firefox 117.0,,,2023-10-06 12:14:11,2023-10-06 12:14:11,0.001s,PASSED
Admin = Double.parseDouble(bAdmin),Firefox 117.0,,,2023-10-06 12:14:11,2023-10-06 12:14:11,0.026s,PASSED
println(Admin),Firefox 117.0,,,2023-10-06 12:14:11,2023-10-06 12:14:11,0.000s,PASSED
"subtotal = getText(findTestObject(""co saldo akun/new subtotal tf""))",Firefox 117.0,,,2023-10-06 12:14:11,2023-10-06 12:14:12,0.543s,PASSED
"subtotall = replace("","", """").trim()",Firefox 117.0,,,2023-10-06 12:14:12,2023-10-06 12:14:12,0.005s,PASSED
Integer.parseInt(subtotall),Firefox 117.0,,,2023-10-06 12:14:12,2023-10-06 12:14:12,0.004s,PASSED
sub = Double.parseDouble(subtotall),Firefox 117.0,,,2023-10-06 12:14:12,2023-10-06 12:14:12,0.003s,PASSED
println(sub),Firefox 117.0,,,2023-10-06 12:14:12,2023-10-06 12:14:12,0.003s,PASSED
"kode = getText(findTestObject(""co saldo akun/new kode unik tf""))",Firefox 117.0,,,2023-10-06 12:14:12,2023-10-06 12:14:13,1.006s,PASSED
"kodee = replace(""+"", """").trim()",Firefox 117.0,,,2023-10-06 12:14:13,2023-10-06 12:14:13,0.002s,PASSED
Integer.parseInt(kodee),Firefox 117.0,,,2023-10-06 12:14:13,2023-10-06 12:14:13,0.000s,PASSED
code = Double.parseDouble(kodee),Firefox 117.0,,,2023-10-06 12:14:13,2023-10-06 12:14:13,0.001s,PASSED
